org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/devops_tools.pp,0,0,0,0,0,0,0,0,0,0,23,8,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/devopslib/manifests/ssl_certificate.pp,0,2,0,2,2,11,4,0,2,2,47,26,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/lab_cz.pp,0,5,3,7,10,42,33,0,6,6,92,7,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/znc.pp,0,0,1,1,3,7,4,0,0,0,30,8,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/mon.pp,0,0,0,0,1,0,0,0,0,0,1,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-haproxy/manifests/config.pp,0,0,0,0,0,8,11,0,1,1,78,61,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/manifests/ha.pp,0,0,0,0,0,13,12,0,0,0,44,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-horizon/spec/fixtures/manifests/site.pp,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror_pypi.pp,1,2,4,7,11,39,30,1,2,2,118,17,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/authorized_keys.pp,0,0,0,1,1,2,2,0,0,0,13,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/log_storage/manifests/logstash.pp,0,13,6,0,6,48,34,0,6,6,164,27,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-concat/manifests/init.pp,1,5,1,6,9,38,16,1,2,2,221,94,1
